,2017-04-27T11:40:00+08:00,2017-04-27T11:45:00+08:00,2017-04-27T11:50:00+08:00,2017-04-27T11:55:00+08:00,2017-04-27T12:00:00+08:00,2017-04-27T12:05:00+08:00,2017-04-27T12:10:00+08:00,2017-04-27T12:15:00+08:00,2017-04-27T12:20:00+08:00,2017-04-27T12:25:00+08:00,2017-04-27T12:30:00+08:00,2017-04-27T12:35:00+08:00,2017-04-27T12:40:00+08:00,2017-04-27T12:45:00+08:00,2017-04-27T12:50:00+08:00,2017-04-27T12:55:00+08:00,2017-04-27T13:00:00+08:00,2017-04-27T13:05:00+08:00,2017-04-27T13:10:00+08:00,2017-04-27T13:15:00+08:00,2017-04-27T13:20:00+08:00,2017-04-27T13:25:00+08:00,2017-04-27T13:30:00+08:00,2017-04-27T13:35:00+08:00,2017-04-27T13:40:00+08:00,2017-04-27T13:45:00+08:00,2017-04-27T13:50:00+08:00,2017-04-27T13:55:00+08:00,2017-04-27T14:00:00+08:00,2017-04-27T14:05:00+08:00,2017-04-27T14:10:00+08:00,2017-04-27T14:15:00+08:00,2017-04-27T14:20:00+08:00,2017-04-27T14:25:00+08:00,2017-04-27T14:30:00+08:00,2017-04-27T14:35:00+08:00,2017-04-27T14:40:00+08:00,2017-04-27T14:45:00+08:00,2017-04-27T14:50:00+08:00,2017-04-27T14:55:00+08:00,2017-04-27T15:00:00+08:00,2017-04-27T15:05:00+08:00,2017-04-27T15:10:00+08:00,2017-04-27T15:15:00+08:00,2017-04-27T15:20:00+08:00,2017-04-27T15:25:00+08:00,2017-04-27T15:30:00+08:00,2017-04-27T15:35:00+08:00,2017-04-27T15:40:00+08:00,2017-04-27T15:45:00+08:00,2017-04-27T15:50:00+08:00,2017-04-27T15:55:00+08:00,2017-04-27T16:00:00+08:00,2017-04-27T16:05:00+08:00,2017-04-27T16:10:00+08:00,2017-04-27T16:15:00+08:00,2017-04-27T16:20:00+08:00,2017-04-27T16:25:00+08:00,2017-04-27T16:30:00+08:00,2017-04-27T16:35:00+08:00,2017-04-27T16:40:00+08:00,2017-04-27T16:45:00+08:00,2017-04-27T16:50:00+08:00,2017-04-27T16:55:00+08:00,2017-04-27T17:00:00+08:00,2017-04-27T17:05:00+08:00,2017-04-27T17:10:00+08:00,2017-04-27T17:15:00+08:00,2017-04-27T17:20:00+08:00,2017-04-27T17:25:00+08:00,2017-04-27T17:30:00+08:00,2017-04-27T17:35:00+08:00,2017-04-27T17:40:00+08:00,2017-04-27T17:45:00+08:00,2017-04-27T17:50:00+08:00,2017-04-27T17:55:00+08:00,2017-04-27T18:00:00+08:00,2017-04-27T18:05:00+08:00,2017-04-27T18:10:00+08:00,2017-04-27T18:15:00+08:00,2017-04-27T18:20:00+08:00,2017-04-27T18:25:00+08:00,2017-04-27T18:30:00+08:00,2017-04-27T18:35:00+08:00,2017-04-27T18:40:00+08:00,2017-04-27T18:45:00+08:00,2017-04-27T18:50:00+08:00,2017-04-27T18:55:00+08:00,2017-04-27T19:00:00+08:00,2017-04-27T19:05:00+08:00,2017-04-27T19:10:00+08:00,2017-04-27T19:15:00+08:00,2017-04-27T19:20:00+08:00,2017-04-27T19:25:00+08:00,2017-04-27T19:30:00+08:00,2017-04-27T19:35:00+08:00,2017-04-27T19:40:00+08:00,2017-04-27T19:45:00+08:00,2017-04-27T19:50:00+08:00,2017-04-27T19:55:00+08:00,2017-04-27T20:00:00+08:00,2017-04-27T20:05:00+08:00,2017-04-27T20:10:00+08:00,2017-04-27T20:15:00+08:00,2017-04-27T20:20:00+08:00,2017-04-27T20:25:00+08:00,2017-04-27T20:30:00+08:00,2017-04-27T20:35:00+08:00,2017-04-27T20:40:00+08:00,2017-04-27T20:45:00+08:00,2017-04-27T20:50:00+08:00,2017-04-27T20:55:00+08:00,2017-04-27T21:00:00+08:00,2017-04-27T21:05:00+08:00,2017-04-27T21:10:00+08:00,2017-04-27T21:15:00+08:00,2017-04-27T21:20:00+08:00,2017-04-27T21:25:00+08:00,2017-04-27T21:30:00+08:00,2017-04-27T21:35:00+08:00,2017-04-27T21:40:00+08:00,2017-04-27T21:45:00+08:00,2017-04-27T21:50:00+08:00,2017-04-27T21:55:00+08:00,2017-04-27T22:00:00+08:00,2017-04-27T22:05:00+08:00,2017-04-27T22:10:00+08:00,2017-04-27T22:15:00+08:00,2017-04-27T22:20:00+08:00,2017-04-27T22:25:00+08:00,2017-04-27T22:30:00+08:00,2017-04-27T22:35:00+08:00,2017-04-27T22:40:00+08:00,2017-04-27T22:45:00+08:00,2017-04-27T22:50:00+08:00,2017-04-27T22:55:00+08:00,2017-04-27T23:00:00+08:00,2017-04-27T23:05:00+08:00,2017-04-27T23:10:00+08:00,2017-04-27T23:15:00+08:00,2017-04-27T23:20:00+08:00,2017-04-27T23:25:00+08:00,2017-04-27T23:30:00+08:00,2017-04-27T23:35:00+08:00,2017-04-27T23:40:00+08:00,2017-04-27T23:45:00+08:00,2017-04-27T23:50:00+08:00,2017-04-27T23:55:00+08:00
S900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0.4,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.2,2,3.6,3.8,1.2,1,1.2,1.6,1.4
S122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,4.8,4.4,4.2,1.6,1,1,0.4,0.4,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
S84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.2,1,1.8,1.6,1.6,1.2,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
S92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.2,1.6,1.4,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.2,1,0.6,0
S88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2.2,5.2,7.4,3.6,1.4,3.4,2.2,1.6,1.4,1,0.8,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3.4,2.8,4,5,7.8,4.2,3.2,3.2,3.6,2.8,1.2,0.4,0.2,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3.2,3.4,6.4,5,3.8,2.2,5.4,2.8,0.8,0.4,0.4,0,0,0,0.2,0.4,0.2
S115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0.2,0,0.2
S24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.2,0,0,0,0,0,0,0.2,0.2,1,1.2,0.4,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,2.6,2.8,2,1.4,0.6,0
S104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
