,2021-01-01T00:05:00+08:00,2021-01-01T00:10:00+08:00,2021-01-01T00:15:00+08:00,2021-01-01T00:20:00+08:00,2021-01-01T00:25:00+08:00,2021-01-01T00:30:00+08:00,2021-01-01T00:35:00+08:00,2021-01-01T00:40:00+08:00,2021-01-01T00:45:00+08:00,2021-01-01T00:50:00+08:00,2021-01-01T00:55:00+08:00,2021-01-01T01:00:00+08:00,2021-01-01T01:05:00+08:00,2021-01-01T01:10:00+08:00,2021-01-01T01:15:00+08:00,2021-01-01T01:20:00+08:00,2021-01-01T01:25:00+08:00,2021-01-01T01:30:00+08:00,2021-01-01T01:35:00+08:00,2021-01-01T01:40:00+08:00,2021-01-01T01:45:00+08:00,2021-01-01T01:50:00+08:00,2021-01-01T01:55:00+08:00,2021-01-01T02:00:00+08:00,2021-01-01T02:05:00+08:00,2021-01-01T02:10:00+08:00,2021-01-01T02:15:00+08:00,2021-01-01T02:20:00+08:00,2021-01-01T02:25:00+08:00,2021-01-01T02:30:00+08:00,2021-01-01T02:35:00+08:00,2021-01-01T02:40:00+08:00,2021-01-01T02:45:00+08:00,2021-01-01T02:50:00+08:00,2021-01-01T02:55:00+08:00,2021-01-01T03:00:00+08:00,2021-01-01T03:05:00+08:00,2021-01-01T03:10:00+08:00,2021-01-01T03:15:00+08:00,2021-01-01T03:20:00+08:00,2021-01-01T03:25:00+08:00,2021-01-01T03:30:00+08:00,2021-01-01T03:35:00+08:00,2021-01-01T03:40:00+08:00,2021-01-01T03:45:00+08:00,2021-01-01T03:50:00+08:00,2021-01-01T03:55:00+08:00,2021-01-01T04:00:00+08:00,2021-01-01T04:05:00+08:00,2021-01-01T04:10:00+08:00,2021-01-01T04:15:00+08:00,2021-01-01T04:20:00+08:00,2021-01-01T04:25:00+08:00,2021-01-01T04:30:00+08:00,2021-01-01T04:35:00+08:00,2021-01-01T04:40:00+08:00,2021-01-01T04:45:00+08:00,2021-01-01T04:50:00+08:00,2021-01-01T04:55:00+08:00,2021-01-01T05:00:00+08:00,2021-01-01T05:05:00+08:00,2021-01-01T05:10:00+08:00,2021-01-01T05:15:00+08:00,2021-01-01T05:20:00+08:00,2021-01-01T05:25:00+08:00,2021-01-01T05:30:00+08:00,2021-01-01T05:35:00+08:00,2021-01-01T05:40:00+08:00,2021-01-01T05:45:00+08:00,2021-01-01T05:50:00+08:00,2021-01-01T05:55:00+08:00,2021-01-01T06:00:00+08:00,2021-01-01T06:05:00+08:00,2021-01-01T06:10:00+08:00,2021-01-01T06:15:00+08:00,2021-01-01T06:20:00+08:00,2021-01-01T06:25:00+08:00,2021-01-01T06:30:00+08:00,2021-01-01T06:35:00+08:00,2021-01-01T06:40:00+08:00,2021-01-01T06:45:00+08:00,2021-01-01T06:50:00+08:00,2021-01-01T06:55:00+08:00,2021-01-01T07:00:00+08:00,2021-01-01T07:05:00+08:00,2021-01-01T07:10:00+08:00,2021-01-01T07:15:00+08:00,2021-01-01T07:20:00+08:00,2021-01-01T07:25:00+08:00,2021-01-01T07:30:00+08:00,2021-01-01T07:35:00+08:00,2021-01-01T07:40:00+08:00,2021-01-01T07:45:00+08:00,2021-01-01T07:50:00+08:00,2021-01-01T07:55:00+08:00
S229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0.4,0.4
S111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.8,0,0,0.2,0.2,0.4,1,0.4,0,0.2,0,0
S900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.2,0.2,0.2,0.2,0.2,0.8,0.4,0.8,1.2,0.6,0.4,0.2,0.2,0,0,0.2,0.2
S60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.4,0,0.2,0.2,0.2,0.2,0.2,0,0.2
S84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4
S79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.6,0,0,0.2,0.2,0.6,0.4,0.8,0.4,0.2,0,0
S92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0.4,0,0.4,0.4
S88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0,0.4,0.2,0,0,0,0.2
S123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0.2,0
S89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.8,0.2,0,0.2,0,0,0,0,0,0.2,0,0.2,0.2,0.2
S69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.4,0,0.2,0.6,0,0.8,1.2,0,0.8,0.2,0.4
S08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0.4,0.4,0.2,0.4,0,0.2,0,0,0.2
S116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2
S104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0.2,0,0.4,0.2,0,0
S100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
S91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,0.2,0.6,0.4,0,0.4,0.4,0,0.4,0.4,0.2,0.2,0.2
