,2018-02-13T13:00:00+08:00,2018-02-13T13:05:00+08:00,2018-02-13T13:10:00+08:00,2018-02-13T13:15:00+08:00,2018-02-13T13:20:00+08:00,2018-02-13T13:25:00+08:00,2018-02-13T13:30:00+08:00,2018-02-13T13:35:00+08:00,2018-02-13T13:40:00+08:00,2018-02-13T13:45:00+08:00,2018-02-13T13:50:00+08:00,2018-02-13T13:55:00+08:00,2018-02-13T14:00:00+08:00,2018-02-13T14:05:00+08:00,2018-02-13T14:10:00+08:00,2018-02-13T14:15:00+08:00,2018-02-13T14:20:00+08:00,2018-02-13T14:25:00+08:00,2018-02-13T14:30:00+08:00,2018-02-13T14:35:00+08:00,2018-02-13T14:40:00+08:00,2018-02-13T14:45:00+08:00,2018-02-13T14:50:00+08:00,2018-02-13T14:55:00+08:00,2018-02-13T15:00:00+08:00,2018-02-13T15:05:00+08:00,2018-02-13T15:10:00+08:00,2018-02-13T15:15:00+08:00,2018-02-13T15:20:00+08:00,2018-02-13T15:25:00+08:00,2018-02-13T15:30:00+08:00,2018-02-13T15:35:00+08:00,2018-02-13T15:40:00+08:00,2018-02-13T15:45:00+08:00,2018-02-13T15:50:00+08:00,2018-02-13T15:55:00+08:00,2018-02-13T16:00:00+08:00,2018-02-13T16:05:00+08:00,2018-02-13T16:10:00+08:00,2018-02-13T16:15:00+08:00,2018-02-13T16:20:00+08:00,2018-02-13T16:25:00+08:00,2018-02-13T16:30:00+08:00,2018-02-13T16:35:00+08:00,2018-02-13T16:40:00+08:00,2018-02-13T16:45:00+08:00,2018-02-13T16:50:00+08:00,2018-02-13T16:55:00+08:00,2018-02-13T17:00:00+08:00,2018-02-13T17:05:00+08:00,2018-02-13T17:10:00+08:00,2018-02-13T17:15:00+08:00,2018-02-13T17:20:00+08:00,2018-02-13T17:25:00+08:00,2018-02-13T17:30:00+08:00,2018-02-13T17:35:00+08:00,2018-02-13T17:40:00+08:00,2018-02-13T17:45:00+08:00,2018-02-13T17:50:00+08:00,2018-02-13T17:55:00+08:00,2018-02-13T18:00:00+08:00,2018-02-13T18:05:00+08:00,2018-02-13T18:10:00+08:00,2018-02-13T18:15:00+08:00,2018-02-13T18:20:00+08:00,2018-02-13T18:25:00+08:00,2018-02-13T18:30:00+08:00,2018-02-13T18:35:00+08:00,2018-02-13T18:40:00+08:00,2018-02-13T18:45:00+08:00,2018-02-13T18:50:00+08:00,2018-02-13T18:55:00+08:00,2018-02-13T19:00:00+08:00,2018-02-13T19:05:00+08:00,2018-02-13T19:10:00+08:00,2018-02-13T19:15:00+08:00,2018-02-13T19:20:00+08:00,2018-02-13T19:25:00+08:00,2018-02-13T19:30:00+08:00,2018-02-13T19:35:00+08:00,2018-02-13T19:40:00+08:00,2018-02-13T19:45:00+08:00,2018-02-13T19:50:00+08:00,2018-02-13T19:55:00+08:00,2018-02-13T20:00:00+08:00,2018-02-13T20:30:00+08:00,2018-02-13T20:35:00+08:00,2018-02-13T21:00:00+08:00,2018-02-13T21:05:00+08:00,2018-02-13T21:10:00+08:00,2018-02-13T21:15:00+08:00,2018-02-13T21:20:00+08:00,2018-02-13T21:25:00+08:00,2018-02-13T21:30:00+08:00,2018-02-13T21:35:00+08:00,2018-02-13T21:40:00+08:00,2018-02-13T21:45:00+08:00,2018-02-13T21:50:00+08:00,2018-02-13T21:55:00+08:00,2018-02-13T22:00:00+08:00,2018-02-13T22:05:00+08:00,2018-02-13T22:10:00+08:00,2018-02-13T22:15:00+08:00,2018-02-13T22:20:00+08:00,2018-02-13T22:25:00+08:00,2018-02-13T22:30:00+08:00,2018-02-13T22:35:00+08:00,2018-02-13T22:40:00+08:00,2018-02-13T22:45:00+08:00,2018-02-13T22:50:00+08:00,2018-02-13T22:55:00+08:00,2018-02-13T23:00:00+08:00,2018-02-13T23:05:00+08:00,2018-02-13T23:10:00+08:00,2018-02-13T23:15:00+08:00,2018-02-13T23:20:00+08:00,2018-02-13T23:25:00+08:00,2018-02-13T23:30:00+08:00,2018-02-13T23:35:00+08:00,2018-02-13T23:40:00+08:00,2018-02-13T23:45:00+08:00,2018-02-13T23:50:00+08:00,2018-02-13T23:55:00+08:00
S79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
